Date,Open,High,Low,Close,index
2003-08-07,1051.3,1076.25,1051.3,1074.8,NSE/CNXMIDCAP200
2003-08-08,1078.9,1091.3,1078.9,1090.55,NSE/CNXMIDCAP200
2003-08-11,1088.85,1107.0,1088.85,1101.3,NSE/CNXMIDCAP200
2003-08-12,1110.05,1116.8,1099.8,1103.05,NSE/CNXMIDCAP200
2003-08-13,1109.15,1118.35,1101.8,1117.55,NSE/CNXMIDCAP200
2003-08-14,1119.95,1133.85,1119.8,1122.95,NSE/CNXMIDCAP200
2003-08-18,1124.65,1154.85,1124.65,1153.2,NSE/CNXMIDCAP200
2003-08-19,1170.2,1176.95,1131.3,1134.1,NSE/CNXMIDCAP200
2003-08-20,1140.4,1153.75,1137.25,1144.65,NSE/CNXMIDCAP200
2003-08-21,1149.55,1159.15,1145.3,1149.15,NSE/CNXMIDCAP200
2003-08-22,1153.85,1159.0,1137.9,1146.25,NSE/CNXMIDCAP200
2003-08-25,1155.25,1157.35,1081.75,1102.3,NSE/CNXMIDCAP200
2003-08-26,1103.65,1152.45,1103.65,1149.9,NSE/CNXMIDCAP200
2003-08-27,1151.75,1176.35,1151.75,1173.6,NSE/CNXMIDCAP200
2003-08-28,1182.95,1186.45,1170.8,1176.5,NSE/CNXMIDCAP200
2003-08-29,1182.05,1191.75,1178.1,1187.65,NSE/CNXMIDCAP200
2003-09-01,1191.2,1207.95,1191.2,1202.2,NSE/CNXMIDCAP200
2003-09-02,1207.85,1209.65,1185.55,1199.65,NSE/CNXMIDCAP200
2003-09-03,1204.35,1215.3,1178.15,1182.75,NSE/CNXMIDCAP200
2003-09-04,1187.15,1199.45,1175.4,1185.15,NSE/CNXMIDCAP200
2003-09-05,1185.75,1202.85,1185.75,1201.2,NSE/CNXMIDCAP200
2003-09-08,1206.05,1235.6,1206.05,1234.4,NSE/CNXMIDCAP200
2003-09-09,1240.3,1246.15,1218.75,1223.15,NSE/CNXMIDCAP200
2003-09-10,1221.8,1225.65,1206.5,1217.4,NSE/CNXMIDCAP200
2003-09-11,1217.05,1239.1,1217.05,1227.8,NSE/CNXMIDCAP200
2003-09-12,1235.95,1242.25,1205.55,1207.85,NSE/CNXMIDCAP200
2003-09-15,1211.45,1211.45,1173.0,1175.8,NSE/CNXMIDCAP200
2003-09-16,1176.05,1201.05,1157.55,1199.15,NSE/CNXMIDCAP200
2003-09-17,1209.9,1219.25,1191.45,1195.35,NSE/CNXMIDCAP200
2003-09-18,1196.6,1196.6,1155.3,1156.35,NSE/CNXMIDCAP200
2003-09-19,1159.0,1173.25,1133.95,1159.35,NSE/CNXMIDCAP200
2003-09-22,1167.0,1175.35,1157.5,1159.05,NSE/CNXMIDCAP200
2003-09-23,1158.8,1177.9,1150.75,1173.8,NSE/CNXMIDCAP200
2003-09-24,1176.55,1193.35,1172.25,1192.65,NSE/CNXMIDCAP200
2003-09-25,1191.9,1206.9,1185.0,1196.0,NSE/CNXMIDCAP200
2003-09-26,1198.0,1220.15,1198.0,1218.9,NSE/CNXMIDCAP200
2003-09-29,1224.0,1240.45,1224.0,1232.5,NSE/CNXMIDCAP200
2003-09-30,1237.7,1244.15,1235.3,1242.65,NSE/CNXMIDCAP200
2003-10-01,1244.85,1259.4,1242.45,1253.0,NSE/CNXMIDCAP200
2003-10-03,1261.2,1276.5,1261.2,1275.25,NSE/CNXMIDCAP200
2003-10-06,1285.15,1306.15,1285.15,1304.0,NSE/CNXMIDCAP200
2003-10-07,1314.8,1320.45,1296.95,1303.25,NSE/CNXMIDCAP200
2003-10-08,1311.6,1322.5,1299.05,1311.15,NSE/CNXMIDCAP200
2003-10-09,1317.05,1337.0,1317.05,1335.8,NSE/CNXMIDCAP200
2003-10-10,1338.7,1349.3,1334.1,1337.15,NSE/CNXMIDCAP200
2003-10-13,1339.5,1363.8,1339.5,1362.65,NSE/CNXMIDCAP200
2003-10-14,1371.05,1373.6,1330.6,1333.45,NSE/CNXMIDCAP200
2003-10-15,1333.55,1345.45,1319.4,1336.85,NSE/CNXMIDCAP200
2003-10-16,1340.8,1359.0,1340.8,1355.5,NSE/CNXMIDCAP200
2003-10-17,1359.45,1368.15,1354.0,1357.3,NSE/CNXMIDCAP200
2003-10-20,1364.1,1369.5,1335.2,1337.65,NSE/CNXMIDCAP200
2003-10-21,1342.35,1345.15,1300.3,1305.55,NSE/CNXMIDCAP200
2003-10-22,1315.75,1322.15,1284.75,1294.0,NSE/CNXMIDCAP200
2003-10-23,1297.8,1313.85,1283.05,1285.4,NSE/CNXMIDCAP200
2003-10-24,1290.95,1313.2,1264.6,1309.35,NSE/CNXMIDCAP200
2003-10-25,1320.35,1336.8,1320.35,1334.1,NSE/CNXMIDCAP200
2003-10-27,1334.55,1337.6,1311.2,1313.05,NSE/CNXMIDCAP200
2003-10-28,1314.35,1314.35,1292.3,1298.15,NSE/CNXMIDCAP200
2003-10-29,1307.05,1312.1,1293.9,1303.9,NSE/CNXMIDCAP200
2003-10-30,1309.5,1326.6,1304.0,1324.8,NSE/CNXMIDCAP200
2003-10-31,1329.5,1354.85,1329.5,1353.65,NSE/CNXMIDCAP200
2003-11-03,1357.45,1373.9,1357.45,1368.35,NSE/CNXMIDCAP200
2003-11-04,1370.0,1382.35,1367.7,1375.3,NSE/CNXMIDCAP200
2003-11-05,1378.6,1398.55,1374.25,1384.95,NSE/CNXMIDCAP200
2003-11-06,1394.95,1409.2,1394.95,1402.85,NSE/CNXMIDCAP200
2003-11-07,1407.1,1417.7,1397.7,1400.85,NSE/CNXMIDCAP200
2003-11-10,1403.25,1421.9,1397.15,1420.15,NSE/CNXMIDCAP200
2003-11-11,1425.2,1447.95,1425.2,1440.35,NSE/CNXMIDCAP200
2003-11-12,1451.0,1467.9,1451.0,1458.05,NSE/CNXMIDCAP200
2003-11-13,1468.4,1472.5,1424.0,1429.55,NSE/CNXMIDCAP200
2003-11-14,1430.95,1431.45,1398.05,1400.7,NSE/CNXMIDCAP200
2003-11-15,1401.25,1428.85,1394.05,1418.95,NSE/CNXMIDCAP200
2003-11-17,1426.6,1445.25,1422.0,1442.7,NSE/CNXMIDCAP200
2003-11-18,1445.0,1463.3,1438.4,1446.0,NSE/CNXMIDCAP200
2003-11-19,1446.95,1446.95,1422.3,1425.75,NSE/CNXMIDCAP200
2003-11-20,1428.05,1442.25,1398.5,1401.05,NSE/CNXMIDCAP200
2003-11-21,1400.7,1405.85,1372.5,1401.75,NSE/CNXMIDCAP200
2003-11-24,1406.7,1431.15,1406.7,1425.5,NSE/CNXMIDCAP200
2003-11-25,1430.6,1446.85,1430.6,1445.9,NSE/CNXMIDCAP200
2003-11-27,1455.6,1474.9,1455.6,1470.2,NSE/CNXMIDCAP200
