Date,Close,SharesTraded,Turnover,index
2009-04-01,1878.64,,,NSE/CNXLOWVOLATILITY
2009-04-02,1924.29,,,NSE/CNXLOWVOLATILITY
2009-04-06,1931.14,,,NSE/CNXLOWVOLATILITY
2009-04-08,1973.64,,,NSE/CNXLOWVOLATILITY
2009-04-09,1977.27,,,NSE/CNXLOWVOLATILITY
2009-04-13,2004.94,,,NSE/CNXLOWVOLATILITY
2009-04-15,2046.87,,,NSE/CNXLOWVOLATILITY
2009-04-16,2024.26,,,NSE/CNXLOWVOLATILITY
2009-04-17,2049.06,,,NSE/CNXLOWVOLATILITY
2009-04-20,2056.72,,,NSE/CNXLOWVOLATILITY
2009-04-21,2057.51,,,NSE/CNXLOWVOLATILITY
2009-04-22,2040.8,,,NSE/CNXLOWVOLATILITY
2009-04-23,2064.72,,,NSE/CNXLOWVOLATILITY
2009-04-24,2084.35,,,NSE/CNXLOWVOLATILITY
2009-04-27,2086.55,,,NSE/CNXLOWVOLATILITY
2009-04-28,2049.56,,,NSE/CNXLOWVOLATILITY
2009-04-29,2082.35,,,NSE/CNXLOWVOLATILITY
2009-05-04,2135.89,,,NSE/CNXLOWVOLATILITY
2009-05-05,2137.93,,,NSE/CNXLOWVOLATILITY
2009-05-06,2125.19,,,NSE/CNXLOWVOLATILITY
2009-05-07,2153.45,,,NSE/CNXLOWVOLATILITY
2009-05-08,2138.9,,,NSE/CNXLOWVOLATILITY
2009-05-11,2119.54,,,NSE/CNXLOWVOLATILITY
2009-05-12,2152.03,,,NSE/CNXLOWVOLATILITY
2009-05-13,2152.16,,,NSE/CNXLOWVOLATILITY
2009-05-14,2150.62,,,NSE/CNXLOWVOLATILITY
2009-05-15,2179.36,,,NSE/CNXLOWVOLATILITY
2009-05-18,2420.23,,,NSE/CNXLOWVOLATILITY
2009-05-19,2410.32,,,NSE/CNXLOWVOLATILITY
2009-05-20,2478.12,,,NSE/CNXLOWVOLATILITY
2009-05-21,2490.71,,,NSE/CNXLOWVOLATILITY
2009-05-22,2469.41,,,NSE/CNXLOWVOLATILITY
2009-05-25,2498.08,,,NSE/CNXLOWVOLATILITY
2009-05-26,2468.92,,,NSE/CNXLOWVOLATILITY
2009-05-27,2528.43,,,NSE/CNXLOWVOLATILITY
2009-05-28,2538.63,,,NSE/CNXLOWVOLATILITY
2009-05-29,2576.51,,,NSE/CNXLOWVOLATILITY
2009-06-01,2625.19,,,NSE/CNXLOWVOLATILITY
2009-06-02,2610.21,,,NSE/CNXLOWVOLATILITY
2009-06-03,2647.97,,,NSE/CNXLOWVOLATILITY
2009-06-04,2692.31,,,NSE/CNXLOWVOLATILITY
2009-06-05,2710.57,,,NSE/CNXLOWVOLATILITY
2009-06-08,2627.24,,,NSE/CNXLOWVOLATILITY
2009-06-09,2674.18,,,NSE/CNXLOWVOLATILITY
2009-06-10,2729.77,,,NSE/CNXLOWVOLATILITY
2009-06-11,2715.34,,,NSE/CNXLOWVOLATILITY
2009-06-12,2683.79,,,NSE/CNXLOWVOLATILITY
2009-06-15,2661.83,,,NSE/CNXLOWVOLATILITY
2009-06-16,2676.09,,,NSE/CNXLOWVOLATILITY
2009-06-17,2608.59,,,NSE/CNXLOWVOLATILITY
2009-06-18,2555.18,,,NSE/CNXLOWVOLATILITY
2009-06-19,2587.68,,,NSE/CNXLOWVOLATILITY
2009-06-22,2566.32,,,NSE/CNXLOWVOLATILITY
2009-06-23,2566.34,,,NSE/CNXLOWVOLATILITY
2009-06-24,2603.21,,,NSE/CNXLOWVOLATILITY
2009-06-25,2589.82,,,NSE/CNXLOWVOLATILITY
2009-06-26,2634.79,,,NSE/CNXLOWVOLATILITY
2009-06-29,2648.17,,,NSE/CNXLOWVOLATILITY
2009-06-30,2617.4,,,NSE/CNXLOWVOLATILITY
2009-07-01,2630.33,,,NSE/CNXLOWVOLATILITY
2009-07-02,2644.03,,,NSE/CNXLOWVOLATILITY
2009-07-03,2677.14,,,NSE/CNXLOWVOLATILITY
2009-07-06,2598.47,,,NSE/CNXLOWVOLATILITY
2009-07-07,2635.99,,,NSE/CNXLOWVOLATILITY
2009-07-08,2606.44,,,NSE/CNXLOWVOLATILITY
2009-07-09,2618.65,,,NSE/CNXLOWVOLATILITY
2009-07-10,2602.58,,,NSE/CNXLOWVOLATILITY
2009-07-13,2559.06,,,NSE/CNXLOWVOLATILITY
2009-07-14,2613.69,,,NSE/CNXLOWVOLATILITY
2009-07-15,2666.28,,,NSE/CNXLOWVOLATILITY
2009-07-16,2680.85,,,NSE/CNXLOWVOLATILITY
2009-07-17,2723.32,,,NSE/CNXLOWVOLATILITY
2009-07-20,2783.04,,,NSE/CNXLOWVOLATILITY
2009-07-21,2776.06,,,NSE/CNXLOWVOLATILITY
2009-07-22,2756.3,,,NSE/CNXLOWVOLATILITY
2009-07-23,2812.16,,,NSE/CNXLOWVOLATILITY
2009-07-24,2838.74,,,NSE/CNXLOWVOLATILITY
2009-07-27,2863.93,,,NSE/CNXLOWVOLATILITY
2009-07-28,2867.25,,,NSE/CNXLOWVOLATILITY
2009-07-29,2838.72,,,NSE/CNXLOWVOLATILITY
2009-07-30,2865.22,,,NSE/CNXLOWVOLATILITY
2009-07-31,2895.41,,,NSE/CNXLOWVOLATILITY
2009-08-03,2919.83,,,NSE/CNXLOWVOLATILITY
2009-08-04,2910.23,,,NSE/CNXLOWVOLATILITY
2009-08-05,2922.09,,,NSE/CNXLOWVOLATILITY
2009-08-06,2868.0,,,NSE/CNXLOWVOLATILITY
2009-08-07,2835.13,,,NSE/CNXLOWVOLATILITY
2009-08-10,2801.38,,,NSE/CNXLOWVOLATILITY
2009-08-11,2812.54,,,NSE/CNXLOWVOLATILITY
2009-08-12,2819.22,,,NSE/CNXLOWVOLATILITY
2009-08-13,2891.2,,,NSE/CNXLOWVOLATILITY
2009-08-14,2899.62,,,NSE/CNXLOWVOLATILITY
2009-08-17,2821.5,,,NSE/CNXLOWVOLATILITY
2009-08-18,2850.33,,,NSE/CNXLOWVOLATILITY
2009-08-19,2814.73,,,NSE/CNXLOWVOLATILITY
2009-08-20,2842.82,,,NSE/CNXLOWVOLATILITY
2009-08-21,2875.58,,,NSE/CNXLOWVOLATILITY
2009-08-24,2917.58,,,NSE/CNXLOWVOLATILITY
2009-08-25,2918.75,,,NSE/CNXLOWVOLATILITY
2009-08-26,2935.13,,,NSE/CNXLOWVOLATILITY
2009-08-27,2929.4,,,NSE/CNXLOWVOLATILITY
2009-08-28,2943.54,,,NSE/CNXLOWVOLATILITY
2009-08-31,2935.48,,,NSE/CNXLOWVOLATILITY
2009-09-01,2925.46,,,NSE/CNXLOWVOLATILITY
2009-09-02,2919.63,,,NSE/CNXLOWVOLATILITY
2009-09-03,2925.64,,,NSE/CNXLOWVOLATILITY
2009-09-04,2950.18,,,NSE/CNXLOWVOLATILITY
2009-09-07,2984.0,,,NSE/CNXLOWVOLATILITY
2009-09-08,2974.8,,,NSE/CNXLOWVOLATILITY
2009-09-09,2963.63,,,NSE/CNXLOWVOLATILITY
2009-09-10,2968.69,,,NSE/CNXLOWVOLATILITY
2009-09-11,2968.99,,,NSE/CNXLOWVOLATILITY
2009-09-14,2970.1,,,NSE/CNXLOWVOLATILITY
2009-09-15,3014.94,,,NSE/CNXLOWVOLATILITY
2009-09-16,3044.46,,,NSE/CNXLOWVOLATILITY
2009-09-17,3050.0,,,NSE/CNXLOWVOLATILITY
2009-09-18,3071.76,,,NSE/CNXLOWVOLATILITY
2009-09-22,3091.82,,,NSE/CNXLOWVOLATILITY
2009-09-23,3080.82,,,NSE/CNXLOWVOLATILITY
2009-09-24,3096.95,,,NSE/CNXLOWVOLATILITY
2009-09-25,3119.02,,,NSE/CNXLOWVOLATILITY
2009-09-29,3137.57,,,NSE/CNXLOWVOLATILITY
2009-09-30,3160.83,,,NSE/CNXLOWVOLATILITY
2009-10-01,3152.75,,,NSE/CNXLOWVOLATILITY
2009-10-05,3112.82,,,NSE/CNXLOWVOLATILITY
2009-10-06,3122.82,,,NSE/CNXLOWVOLATILITY
2009-10-07,3122.67,,,NSE/CNXLOWVOLATILITY
2009-10-08,3142.07,,,NSE/CNXLOWVOLATILITY
2009-10-09,3123.49,,,NSE/CNXLOWVOLATILITY
2009-10-12,3171.16,,,NSE/CNXLOWVOLATILITY
2009-10-14,3207.43,,,NSE/CNXLOWVOLATILITY
2009-10-15,3209.33,,,NSE/CNXLOWVOLATILITY
2009-10-16,3228.81,,,NSE/CNXLOWVOLATILITY
2009-10-17,3238.02,,,NSE/CNXLOWVOLATILITY
2009-10-20,3235.92,,,NSE/CNXLOWVOLATILITY
2009-10-21,3204.08,,,NSE/CNXLOWVOLATILITY
2009-10-22,3170.61,,,NSE/CNXLOWVOLATILITY
2009-10-23,3201.65,,,NSE/CNXLOWVOLATILITY
2009-10-26,3180.7,,,NSE/CNXLOWVOLATILITY
2009-10-27,3120.85,,,NSE/CNXLOWVOLATILITY
2009-10-28,3116.41,,,NSE/CNXLOWVOLATILITY
2009-10-29,3086.16,,,NSE/CNXLOWVOLATILITY
2009-10-30,3080.49,,,NSE/CNXLOWVOLATILITY
2009-11-03,3022.22,,,NSE/CNXLOWVOLATILITY
2009-11-04,3075.87,,,NSE/CNXLOWVOLATILITY
2009-11-05,3116.96,,,NSE/CNXLOWVOLATILITY
2009-11-06,3132.25,,,NSE/CNXLOWVOLATILITY
2009-11-09,3186.72,,,NSE/CNXLOWVOLATILITY
2009-11-10,3171.3,,,NSE/CNXLOWVOLATILITY
2009-11-11,3230.55,,,NSE/CNXLOWVOLATILITY
2009-11-12,3199.93,,,NSE/CNXLOWVOLATILITY
2009-11-13,3209.44,,,NSE/CNXLOWVOLATILITY
2009-11-16,3240.89,,,NSE/CNXLOWVOLATILITY
2009-11-17,3239.62,,,NSE/CNXLOWVOLATILITY
2009-11-18,3245.66,,,NSE/CNXLOWVOLATILITY
2009-11-19,3213.59,,,NSE/CNXLOWVOLATILITY
2009-11-20,3265.85,,,NSE/CNXLOWVOLATILITY
2009-11-23,3295.62,,,NSE/CNXLOWVOLATILITY
2009-11-24,3310.19,,,NSE/CNXLOWVOLATILITY
2009-11-25,3325.23,,,NSE/CNXLOWVOLATILITY
2009-11-26,3275.34,,,NSE/CNXLOWVOLATILITY
2009-11-27,3249.9,,,NSE/CNXLOWVOLATILITY
2009-11-30,3282.09,,,NSE/CNXLOWVOLATILITY
2009-12-01,3324.55,,,NSE/CNXLOWVOLATILITY
2009-12-02,3337.35,,,NSE/CNXLOWVOLATILITY
2009-12-03,3350.5,,,NSE/CNXLOWVOLATILITY
2009-12-04,3350.5,,,NSE/CNXLOWVOLATILITY
2009-12-07,3343.13,,,NSE/CNXLOWVOLATILITY
2009-12-08,3381.68,,,NSE/CNXLOWVOLATILITY
2009-12-09,3370.45,,,NSE/CNXLOWVOLATILITY
2009-12-10,3384.65,,,NSE/CNXLOWVOLATILITY
2009-12-11,3367.16,,,NSE/CNXLOWVOLATILITY
2009-12-14,3360.93,,,NSE/CNXLOWVOLATILITY
2009-12-15,3317.21,,,NSE/CNXLOWVOLATILITY
2009-12-16,3327.3,,,NSE/CNXLOWVOLATILITY
2009-12-17,3347.61,,,NSE/CNXLOWVOLATILITY
2009-12-18,3332.46,,,NSE/CNXLOWVOLATILITY
2009-12-21,3317.0,,,NSE/CNXLOWVOLATILITY
2009-12-22,3338.8,,,NSE/CNXLOWVOLATILITY
2009-12-23,3393.02,,,NSE/CNXLOWVOLATILITY
2009-12-24,3408.81,,,NSE/CNXLOWVOLATILITY
2009-12-29,3398.78,,,NSE/CNXLOWVOLATILITY
2009-12-30,3396.22,,,NSE/CNXLOWVOLATILITY
2009-12-31,3413.1,,,NSE/CNXLOWVOLATILITY
2010-01-04,3444.03,,,NSE/CNXLOWVOLATILITY
2010-01-05,3469.05,,,NSE/CNXLOWVOLATILITY
2010-01-06,3494.53,,,NSE/CNXLOWVOLATILITY
2010-01-07,3478.5,,,NSE/CNXLOWVOLATILITY
2010-01-08,3482.72,,,NSE/CNXLOWVOLATILITY
2010-01-11,3501.31,,,NSE/CNXLOWVOLATILITY
2010-01-12,3475.22,,,NSE/CNXLOWVOLATILITY
2010-01-13,3509.65,,,NSE/CNXLOWVOLATILITY
2010-01-14,3530.61,,,NSE/CNXLOWVOLATILITY
2010-01-15,3545.35,,,NSE/CNXLOWVOLATILITY
2010-01-18,3569.03,,,NSE/CNXLOWVOLATILITY
2010-01-19,3531.23,,,NSE/CNXLOWVOLATILITY
2010-01-20,3520.01,,,NSE/CNXLOWVOLATILITY
2010-01-21,3452.72,,,NSE/CNXLOWVOLATILITY
2010-01-22,3420.15,,,NSE/CNXLOWVOLATILITY
2010-01-25,3406.31,,,NSE/CNXLOWVOLATILITY
2010-01-27,3326.91,,,NSE/CNXLOWVOLATILITY
2010-01-28,3332.19,,,NSE/CNXLOWVOLATILITY
2010-01-29,3350.94,,,NSE/CNXLOWVOLATILITY
2010-02-01,3409.63,,,NSE/CNXLOWVOLATILITY
2010-02-02,3368.25,,,NSE/CNXLOWVOLATILITY
2010-02-03,3418.11,,,NSE/CNXLOWVOLATILITY
2010-02-04,3379.62,,,NSE/CNXLOWVOLATILITY
2010-02-05,3321.22,,,NSE/CNXLOWVOLATILITY
2010-02-06,3355.87,,,NSE/CNXLOWVOLATILITY
2010-02-08,3350.11,,,NSE/CNXLOWVOLATILITY
2010-02-09,3372.08,,,NSE/CNXLOWVOLATILITY
2010-02-10,3364.12,,,NSE/CNXLOWVOLATILITY
2010-02-11,3385.96,,,NSE/CNXLOWVOLATILITY
2010-02-15,3360.25,,,NSE/CNXLOWVOLATILITY
2010-02-16,3390.38,,,NSE/CNXLOWVOLATILITY
2010-02-17,3404.51,,,NSE/CNXLOWVOLATILITY
2010-02-18,3397.15,,,NSE/CNXLOWVOLATILITY
2010-02-19,3376.72,,,NSE/CNXLOWVOLATILITY
2010-02-22,3369.59,,,NSE/CNXLOWVOLATILITY
2010-02-23,3355.42,,,NSE/CNXLOWVOLATILITY
2010-02-24,3345.37,,,NSE/CNXLOWVOLATILITY
2010-02-25,3336.55,,,NSE/CNXLOWVOLATILITY
2010-02-26,3374.37,,,NSE/CNXLOWVOLATILITY
2010-03-02,3423.72,,,NSE/CNXLOWVOLATILITY
2010-03-03,3463.96,,,NSE/CNXLOWVOLATILITY
2010-03-04,3473.31,,,NSE/CNXLOWVOLATILITY
2010-03-05,3486.65,,,NSE/CNXLOWVOLATILITY
2010-03-08,3517.68,,,NSE/CNXLOWVOLATILITY
2010-03-09,3505.52,,,NSE/CNXLOWVOLATILITY
2010-03-10,3508.52,,,NSE/CNXLOWVOLATILITY
2010-03-11,3511.1,,,NSE/CNXLOWVOLATILITY
2010-03-12,3504.79,,,NSE/CNXLOWVOLATILITY
2010-03-15,3487.25,,,NSE/CNXLOWVOLATILITY
2010-03-16,3503.16,,,NSE/CNXLOWVOLATILITY
2010-03-17,3523.78,,,NSE/CNXLOWVOLATILITY
2010-03-18,3525.23,,,NSE/CNXLOWVOLATILITY
2010-03-19,3545.17,,,NSE/CNXLOWVOLATILITY
2010-03-22,3526.65,,,NSE/CNXLOWVOLATILITY
2010-03-23,3533.47,,,NSE/CNXLOWVOLATILITY
2010-03-25,3531.46,,,NSE/CNXLOWVOLATILITY
2010-03-26,3548.06,,,NSE/CNXLOWVOLATILITY
2010-03-29,3574.75,,,NSE/CNXLOWVOLATILITY
2010-03-30,3561.81,,,NSE/CNXLOWVOLATILITY
2010-03-31,3561.93,,,NSE/CNXLOWVOLATILITY
2010-04-01,3565.5,,,NSE/CNXLOWVOLATILITY
2010-04-05,3617.61,,,NSE/CNXLOWVOLATILITY
2010-04-06,3622.17,,,NSE/CNXLOWVOLATILITY
2010-04-07,3637.39,,,NSE/CNXLOWVOLATILITY
2010-04-08,3616.49,,,NSE/CNXLOWVOLATILITY
2010-04-09,3629.37,,,NSE/CNXLOWVOLATILITY
2010-04-12,3609.94,,,NSE/CNXLOWVOLATILITY
2010-04-13,3601.63,,,NSE/CNXLOWVOLATILITY
2010-04-15,3603.88,,,NSE/CNXLOWVOLATILITY
2010-04-16,3597.66,,,NSE/CNXLOWVOLATILITY
2010-04-19,3572.96,,,NSE/CNXLOWVOLATILITY
