Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),index
2011-02-09,10437.95,10437.95,10107.6,10161.5,113965562.0,1905.68,NSE/CNX_NIFTY_JUNIOR
2011-02-10,10146.8,10258.4,10037.9,10197.85,115587253.0,1834.9,NSE/CNX_NIFTY_JUNIOR
2011-02-11,10187.4,10421.05,10108.55,10406.25,111361290.0,1842.16,NSE/CNX_NIFTY_JUNIOR
2011-02-14,10442.05,10826.55,10442.05,10799.8,83885042.0,1693.22,NSE/CNX_NIFTY_JUNIOR
2011-02-15,10850.2,10920.1,10699.15,10860.65,105682878.0,1931.94,NSE/CNX_NIFTY_JUNIOR
2011-02-16,10862.25,10925.55,10853.2,10872.85,77031360.0,1515.1,NSE/CNX_NIFTY_JUNIOR
2011-02-17,10880.0,11012.05,10863.95,11004.7,91990661.0,1637.85,NSE/CNX_NIFTY_JUNIOR
2011-02-18,11014.3,11133.95,10783.1,10807.1,93172520.0,1796.2,NSE/CNX_NIFTY_JUNIOR
2011-02-21,10794.7,10900.0,10688.4,10880.25,71197173.0,1390.49,NSE/CNX_NIFTY_JUNIOR
2011-02-22,10846.0,10848.3,10725.65,10766.15,73016773.0,1291.87,NSE/CNX_NIFTY_JUNIOR
2011-02-23,10691.9,10782.8,10668.0,10688.0,70089777.0,1265.26,NSE/CNX_NIFTY_JUNIOR
2011-02-24,10674.55,10674.55,10308.8,10339.6,124046865.0,2128.92,NSE/CNX_NIFTY_JUNIOR
2011-02-25,10375.1,10450.15,10274.8,10407.4,97092660.0,2065.96,NSE/CNX_NIFTY_JUNIOR
2011-02-28,10489.1,10625.7,10430.8,10448.85,110672269.0,1902.57,NSE/CNX_NIFTY_JUNIOR
2011-03-01,10484.95,10819.95,10484.95,10803.2,106298124.0,2069.49,NSE/CNX_NIFTY_JUNIOR
